prefecture,value
愛知県,10
愛媛県,4
茨城県,1
岡山県,1
沖縄県,3
岩手県,0
岐阜県,3
宮崎県,0
宮城県,0
京都府,2
熊本県,1
群馬県,0
広島県,5
香川県,3
高知県,3
佐賀県,0
埼玉県,2
三重県,1
山形県,0
山口県,1
山梨県,0
滋賀県,0
鹿児島県,1
秋田県,0
新潟県,0
神奈川県,6
青森県,0
静岡県,4
石川県,0
千葉県,0
大阪府,10
大分県,1
長崎県,1
長野県,1
鳥取県,0
島根県,0
東京都,5
徳島県,5
栃木県,1
奈良県,2
富山県,0
福井県,1
福岡県,0
福島県,0
兵庫県,6
北海道,0
和歌山県,5
