prefecture,value
愛知県,8
愛媛県,6
茨城県,2
岡山県,0
沖縄県,1
岩手県,0
岐阜県,1
宮崎県,0
宮城県,0
京都府,4
熊本県,0
群馬県,2
広島県,7
香川県,2
高知県,2
佐賀県,2
埼玉県,0
三重県,1
山形県,0
山口県,1
山梨県,0
滋賀県,0
鹿児島県,0
秋田県,0
新潟県,0
神奈川県,7
青森県,0
静岡県,1
石川県,0
千葉県,3
大阪府,12
大分県,1
長崎県,0
長野県,1
鳥取県,0
島根県,0
東京都,7
徳島県,1
栃木県,2
奈良県,2
富山県,0
福井県,0
福岡県,4
福島県,0
兵庫県,7
北海道,2
和歌山県,7
